Wall time,Step,Value
1575552997.5706737,200,1975.6070556640625
1575553024.337763,2200,1898.6617431640625
1575553053.390278,4200,1889.3310546875
1575553092.0092423,6200,1891.1497802734375
1575553139.433243,8200,1893.8336181640625
1575553222.8029785,10200,1894.7293701171875
1575553296.1860554,12200,1895.826416015625
1575553367.25097,14200,1898.334716796875
1575553439.4676735,16200,1899.5601806640625
1575553509.960687,18200,1903.4290771484375
1575553605.1296978,20200,1901.052490234375
1575553683.4360523,22200,1904.65234375
1575553756.2179687,24200,1907.8309326171875
1575553831.4840164,26200,1913.351806640625
1575553903.161996,28200,1915.5740966796875
1575553993.8303523,30200,1916.74072265625
1575554067.7250667,32200,1919.550537109375
1575554137.932511,34200,1919.1131591796875
1575554210.7410488,36200,1920.8673095703125
1575554283.9783087,38200,1919.9862060546875
1575554376.453701,40200,1920.7679443359375
1575554452.6511362,42200,1922.7569580078125
1575554526.2821774,44200,1925.28271484375
1575554600.7504673,46200,1923.2635498046875
1575554673.0625358,48200,1923.9102783203125
1575554764.909545,50200,1921.8233642578125
1575554836.840559,52200,1919.4783935546875
1575554906.2498963,54200,1919.4239501953125
1575554979.3598802,56200,1921.778564453125
1575555051.1375494,58200,1922.0137939453125
1575555142.283619,60200,1924.6021728515625
1575555215.8306901,62200,1918.71435546875
1575555287.435549,64200,1910.7872314453125
1575555357.9218314,66200,1911.2454833984375
1575555429.4116113,68200,1905.742919921875
1575555522.388735,70200,1906.9615478515625
1575555596.5947423,72200,1904.175048828125
1575555678.89933,74200,1906.166015625
1575555763.681584,76200,1902.414794921875
1575555836.0639331,78200,1899.5618896484375
1575555927.0980687,80200,1895.8853759765625
1575555999.4835925,82200,1897.969482421875
1575556070.622704,84200,1906.00048828125
1575556142.8277135,86200,1901.8853759765625
1575556215.2939548,88200,1907.9010009765625
1575556310.3762496,90200,1910.214599609375
1575556384.1121151,92200,1916.055419921875
1575556456.146081,94200,1912.9530029296875
1575556527.009363,96200,1912.5196533203125
1575556596.4802873,98200,1915.1492919921875
1575556688.0905824,100200,1917.484130859375
1575556762.8583543,102200,1921.4608154296875
1575556833.9180667,104200,1916.216552734375
1575556904.316612,106200,1916.497314453125
1575556977.3217218,108200,1916.6026611328125
1575557070.478017,110200,1912.0660400390625
1575557145.4694755,112200,1908.6158447265625
1575557216.5584455,114200,1911.7724609375
1575557286.805762,116200,1911.5338134765625
1575557360.9949942,118200,1910.9007568359375
1575557451.1667953,120200,1911.3468017578125
1575557525.5049248,122200,1902.2315673828125
1575557596.36872,124200,1906.58349609375
1575557669.072587,126200,1906.5313720703125
1575557740.6456192,128200,1903.0018310546875
1575557830.300988,130200,1907.707763671875
1575557903.6060069,132200,1907.0838623046875
1575557976.2603586,134200,1907.12646484375
1575558046.6815515,136200,1912.8084716796875
1575558116.8498816,138200,1911.00732421875
1575558208.003313,140200,1911.3328857421875
1575558280.3817503,142200,1917.2554931640625
1575558350.771313,144200,1911.9356689453125
1575558421.9472387,146200,1913.2093505859375
1575558494.053219,148200,1910.03857421875
1575558586.5101953,150200,1905.2115478515625
1575558660.5182798,152200,1905.7969970703125
1575558731.173933,154200,1905.0556640625
1575558801.6550086,156200,1899.7547607421875
1575558869.4672558,158200,1902.3851318359375
1575558961.5251267,160200,1899.6119384765625
1575559033.5293472,162200,1896.4632568359375
1575559107.5873947,164200,1901.8941650390625
1575559178.2166224,166200,1905.0633544921875
1575559248.961227,168200,1910.283935546875
1575559342.6331198,170200,1915.8115234375
1575559417.3662226,172200,1915.8525390625
1575559489.1086497,174200,1913.982666015625
1575559562.215954,176200,1915.2178955078125
1575559631.6539586,178200,1914.3558349609375
1575559726.1171303,180200,1916.68701171875
1575559799.620919,182200,1921.2762451171875
1575559873.581627,184200,1916.66748046875
1575559943.666089,186200,1913.1934814453125
1575560016.7459297,188200,1911.7366943359375
1575560110.5243566,190200,1910.9776611328125
1575560185.050992,192200,1909.979248046875
1575560262.5965202,194200,1908.6375732421875
1575560331.8305142,196200,1910.730712890625
1575560402.7727134,198200,1909.04345703125
1575560498.4740372,200200,1910.3365478515625
1575560572.7806683,202200,1911.562255859375
1575560650.3711216,204200,1918.1427001953125
1575560718.9475806,206200,1921.2459716796875
1575560788.4524941,208200,1918.34228515625
1575560879.091114,210200,1914.4320068359375
1575560950.812202,212200,1913.1016845703125
1575561024.8458774,214200,1912.7611083984375
1575561096.8922036,216200,1912.5577392578125
1575561167.5835466,218200,1915.398681640625
1575561260.8148215,220200,1914.4796142578125
1575561334.2047591,222200,1912.46923828125
1575561410.4781926,224200,1909.4267578125
1575561482.9933264,226200,1904.2835693359375
1575561552.1380281,228200,1911.6412353515625
1575561646.3940134,230200,1918.5850830078125
1575561719.607184,232200,1922.478515625
1575561795.3303244,234200,1924.1639404296875
1575561866.4392707,236200,1919.460693359375
1575561938.2742789,238200,1919.406982421875
1575562031.7771533,240200,1921.7091064453125
1575562105.9683397,242200,1922.5924072265625
1575562182.8654795,244200,1924.9840087890625
1575562251.3539238,246200,1929.8787841796875
1575562327.14996,248200,1926.0831298828125
1575562420.0171196,250200,1920.821044921875
1575562492.9462802,252200,1917.8673095703125
1575562565.8938675,254200,1920.9794921875
1575562636.069861,256200,1925.2735595703125
1575562706.8958817,258200,1924.1099853515625
1575562802.9382048,260200,1923.867431640625
1575562878.0286617,262200,1921.6561279296875
1575562952.4781148,264200,1919.3974609375
1575563022.0865088,266200,1917.666259765625
1575563094.2899787,268200,1915.84814453125
1575563190.9289536,270200,1919.014892578125
1575563264.0023441,272200,1919.5244140625
1575563338.894418,274200,1915.0540771484375
1575563410.0818672,276200,1909.3128662109375
1575563482.9286416,278200,1910.369140625
1575563573.8110166,280200,1905.9072265625
1575563645.7792826,282200,1905.2271728515625
1575563719.0978923,284200,1907.17626953125
1575563790.0423841,286200,1905.57763671875
1575563864.1343255,288200,1908.3951416015625
1575563956.4101522,290200,1908.440673828125
1575564026.546822,292200,1914.625
1575564101.1583672,294200,1917.959716796875
1575564170.4060621,296200,1920.9681396484375
1575564246.0164692,298200,1918.1387939453125
1575564339.6217403,300200,1921.5179443359375
1575564412.1099362,302200,1925.7513427734375
1575564487.0897572,304200,1921.9027099609375
1575564557.3443284,306200,1922.2835693359375
1575564632.6979744,308200,1924.2789306640625
1575564727.6793768,310200,1924.7322998046875
1575564804.715839,312200,1919.9541015625
1575564877.5420344,314200,1920.4493408203125
1575564947.0013096,316200,1922.5518798828125
1575565022.6644416,318200,1922.471923828125
1575565118.2092001,320200,1921.6483154296875
1575565190.0834782,322200,1916.705322265625
1575565265.50722,324200,1914.6229248046875
1575565336.0696688,326200,1915.981689453125
1575565410.8602984,328200,1915.7686767578125
1575565505.5775924,330200,1913.0692138671875
1575565576.011686,332200,1915.8587646484375
1575565651.7620134,334200,1913.255126953125
1575565721.1691005,336200,1909.322021484375
1575565795.742762,338200,1911.6697998046875
1575565891.748172,340200,1906.166259765625
1575565967.762093,342200,1910.04345703125
1575566042.0144536,344200,1914.6087646484375
1575566108.713947,346200,1912.423583984375
1575566180.3987877,348200,1909.837158203125
1575566274.7722087,350200,1908.5701904296875
1575566346.4018748,352200,1901.8819580078125
1575566419.6259952,354200,1903.94189453125
1575566489.2131658,356200,1904.1903076171875
1575566561.7059326,358200,1904.0264892578125
1575566654.2279255,360200,1909.769775390625
1575566726.057231,362200,1906.388427734375
1575566799.9972243,364200,1906.795166015625
1575566869.6868422,366200,1909.693603515625
1575566944.6412907,368200,1906.362548828125
1575567034.5899553,370200,1908.8900146484375
1575567109.224535,372200,1915.9090576171875
1575567185.5890744,374200,1910.96240234375
1575567255.8100328,376200,1913.3355712890625
1575567329.8629756,378200,1913.54052734375
1575567420.3136435,380200,1912.384033203125
1575567489.7605927,382200,1911.6658935546875
1575567565.2697165,384200,1912.3052978515625
1575567635.1148765,386200,1909.1456298828125
1575567708.5628796,388200,1909.531494140625
1575567801.930814,390200,1907.6917724609375
1575567873.957197,392200,1904.5299072265625
1575567948.037192,394200,1910.5555419921875
1575568018.1568017,396200,1911.2247314453125
1575568090.9496956,398200,1910.9886474609375
1575568184.4667528,400200,1915.0552978515625
1575568256.118224,402200,1915.5545654296875
1575568330.9425492,404200,1914.973388671875
1575568402.4421384,406200,1918.2574462890625
1575568474.8909428,408200,1923.2845458984375
1575568568.137011,410200,1923.8966064453125
1575568641.6374235,412200,1925.6463623046875
1575568714.730597,414200,1923.5341796875
1575568787.6185522,416200,1924.3936767578125
1575568861.2169366,418200,1920.3870849609375
1575568957.1556492,420200,1914.56787109375
1575569030.0690174,422200,1916.38623046875
1575569104.1274414,424200,1910.9215087890625
1575569173.2781553,426200,1907.1177978515625
1575569245.881152,428200,1906.50732421875
1575569339.1700125,430200,1908.48583984375
1575569412.1553502,432200,1905.9854736328125
1575569485.102446,434200,1908.960693359375
1575569553.686938,436200,1908.9588623046875
1575569625.2753184,438200,1912.133056640625
1575569720.1336308,440200,1912.6580810546875
1575569793.1218657,442200,1911.6395263671875
1575569868.6295197,444200,1917.4351806640625
1575569941.3345973,446200,1923.787109375
1575570013.5774066,448200,1921.58154296875
1575570105.879268,450200,1922.19873046875
1575570181.8806381,452200,1923.1075439453125
1575570258.105847,454200,1919.278564453125
1575570329.5960934,456200,1920.6617431640625
1575570402.0383873,458200,1923.84716796875
1575570499.9073417,460200,1923.391357421875
1575570573.3841293,462200,1921.4808349609375
1575570646.4375386,464200,1921.269775390625
1575570718.0287616,466200,1916.2176513671875
1575570788.9998395,468200,1919.5321044921875
1575570884.4212399,470200,1914.884765625
1575570957.066591,472200,1912.237548828125
1575571030.9566953,474200,1914.435302734375
1575571100.233942,476200,1912.75537109375
1575571172.7374945,478200,1908.8450927734375
1575571266.0434163,480200,1913.99609375
1575571336.4723232,482200,1920.19580078125
1575571414.0414944,484200,1917.0987548828125
1575571484.7297466,486200,1917.4661865234375
1575571554.1181624,488200,1912.3994140625
1575571646.672667,490200,1911.8759765625
1575571715.6640549,492200,1916.209228515625
1575571791.1924932,494200,1916.5054931640625
1575571864.7950613,496200,1913.5567626953125
1575571934.514024,498200,1913.110595703125
1575572031.032168,500200,1911.607666015625
1575572101.114726,502200,1907.8289794921875
1575572173.1232245,504200,1910.3802490234375
1575572248.780552,506200,1911.69775390625
1575572317.3219125,508200,1916.134033203125
1575572409.1712897,510200,1917.55322265625
1575572480.8708353,512200,1913.8714599609375
1575572555.3003883,514200,1913.671630859375
1575572630.4572186,516200,1914.3006591796875
1575572701.0036838,518200,1918.36865234375
1575572793.4508743,520200,1914.7855224609375
1575572866.1733444,522200,1916.1929931640625
1575572940.1299763,524200,1911.806640625
1575573014.053054,526200,1909.502685546875
1575573085.2282424,528200,1906.3582763671875
1575573180.7013648,530200,1909.8154296875
1575573251.2874732,532200,1910.3818359375
1575573324.6174004,534200,1906.6483154296875
1575573399.2704895,536200,1910.0203857421875
1575573468.7651591,538200,1909.7349853515625
1575573562.450499,540200,1910.1895751953125
1575573634.3044744,542200,1910.249267578125
1575573712.1294417,544200,1912.552001953125
1575573786.962431,546200,1917.9085693359375
1575573855.448707,548200,1918.7105712890625
1575573952.2165508,550200,1915.2144775390625
