Wall time,Step,Value
1576011548.9730854,200,1915.659912109375
1576011577.7477663,2200,1927.8206787109375
1576011606.674124,4200,1928.09423828125
1576011635.952647,6200,1932.757080078125
1576011665.1291296,8200,1932.0191650390625
1576011701.7223082,10200,1931.67822265625
1576011731.2493758,12200,1929.735595703125
1576011760.8745008,14200,1933.828369140625
1576011790.8797438,16200,1933.5782470703125
1576011820.3078864,18200,1933.691650390625
1576011857.2011042,20200,1932.566162109375
1576011887.2836587,22200,1932.00830078125
1576011917.0599048,24200,1934.0155029296875
1576011946.4950204,26200,1935.18115234375
1576011976.7378678,28200,1937.5838623046875
1576012013.8843307,30200,1937.77685546875
1576012043.5827243,32200,1941.2291259765625
1576012073.164149,34200,1942.62548828125
1576012102.767835,36200,1944.237060546875
1576012132.6357775,38200,1945.93798828125
1576012170.015947,40200,1949.289306640625
1576012200.3583808,42200,1952.3489990234375
1576012230.9581726,44200,1952.448486328125
1576012260.5190356,46200,1950.76318359375
1576012290.5345013,48200,1949.9852294921875
1576012328.5361333,50200,1948.546630859375
1576012359.1773374,52200,1948.125244140625
1576012389.1130576,54200,1946.1385498046875
1576012419.2131717,56200,1945.8656005859375
1576012448.8662577,58200,1945.005859375
1576012487.0777977,60200,1944.6898193359375
1576012515.6334834,62200,1942.7552490234375
1576012543.729283,64200,1941.880615234375
1576012571.5550268,66200,1943.099365234375
1576012607.343831,68200,1940.206787109375
1576012657.4668577,70200,1941.80615234375
1576012699.5016181,72200,1940.7073974609375
1576012758.579656,74200,1939.9619140625
1576012818.8610783,76200,1940.3255615234375
1576012876.488891,78200,1942.2357177734375
1576012951.5991406,80200,1942.577392578125
1576013009.2953663,82200,1941.926513671875
1576013069.434025,84200,1942.15478515625
1576013130.4349363,86200,1940.91943359375
1576013188.505673,88200,1943.941650390625
1576013262.8769841,90200,1945.4564208984375
1576013320.9467044,92200,1947.7119140625
1576013381.012925,94200,1946.5343017578125
1576013440.369337,96200,1946.8692626953125
1576013498.6352031,98200,1945.6627197265625
1576013576.7303774,100200,1945.69384765625
1576013633.1806908,102200,1946.71826171875
1576013692.8374221,104200,1947.5816650390625
1576013754.198642,106200,1946.134521484375
1576013813.1129057,108200,1948.4385986328125
1576013888.9652958,110200,1947.3880615234375
1576013946.7104433,112200,1945.977294921875
1576014006.2721336,114200,1946.600830078125
1576014066.6942146,116200,1947.7510986328125
1576014126.403931,118200,1946.844970703125
1576014201.6012013,120200,1944.11962890625
1576014258.644442,122200,1943.9200439453125
1576014318.0601623,124200,1945.375244140625
1576014377.6531615,126200,1947.3536376953125
1576014436.5028822,128200,1944.187744140625
1576014513.6897545,130200,1944.5067138671875
1576014570.779848,132200,1946.5960693359375
1576014631.7656267,134200,1945.7247314453125
1576014689.9980445,136200,1945.001220703125
1576014753.1956809,138200,1944.2327880859375
1576014829.735113,140200,1947.256103515625
1576014886.1830492,142200,1948.6297607421875
1576014947.4391682,144200,1946.3170166015625
1576015006.805052,146200,1944.893798828125
1576015068.11084,148200,1946.120849609375
1576015144.0199697,150200,1948.5863037109375
1576015201.1667972,152200,1946.8291015625
1576015261.7344747,154200,1947.2430419921875
1576015321.2299614,156200,1946.0802001953125
1576015382.2005646,158200,1944.634033203125
1576015457.4376664,160200,1943.26806640625
1576015515.1782706,162200,1940.216552734375
1576015578.3708832,164200,1940.768310546875
1576015636.546746,166200,1943.6097412109375
1576015697.9168713,168200,1942.8465576171875
1576015771.7644355,170200,1939.6431884765625
1576015831.5935266,172200,1939.103271484375
1576015892.4051085,174200,1939.0445556640625
1576015950.3463328,176200,1941.4144287109375
1576016009.7360554,178200,1946.54541015625
1576016083.3697956,180200,1946.5634765625
1576016143.059663,182200,1951.0789794921875
1576016203.6003878,184200,1950.1201171875
1576016261.5438735,186200,1950.7340087890625
1576016321.8085067,188200,1952.476806640625
1576016395.2116134,190200,1953.8768310546875
1576016455.0100374,192200,1950.5460205078125
1576016516.6065915,194200,1951.08837890625
1576016574.254669,196200,1949.9364013671875
1576016636.499439,198200,1946.0064697265625
1576016710.362858,200200,1943.93212890625
1576016769.6019943,202200,1939.42041015625
1576016831.6933653,204200,1937.695068359375
1576016889.9262822,206200,1935.96142578125
1576016952.0663881,208200,1934.12255859375
1576017025.8215117,210200,1932.97900390625
1576017087.92235,212200,1935.357177734375
1576017147.757864,214200,1936.8253173828125
1576017205.1329763,216200,1934.0831298828125
1576017267.575052,218200,1936.0810546875
1576017340.6981964,220200,1937.1778564453125
1576017401.757909,222200,1940.5108642578125
1576017463.2876642,224200,1946.16162109375
1576017520.2987108,226200,1947.560302734375
1576017580.1100407,228200,1948.39111328125
1576017654.5304637,230200,1949.5528564453125
1576017716.0551353,232200,1949.1968994140625
1576017776.5462596,234200,1948.097412109375
1576017834.5879676,236200,1946.227294921875
1576017894.9875226,238200,1944.8770751953125
1576017969.5036209,240200,1948.37353515625
1576018031.707029,242200,1948.30078125
1576018092.5576231,244200,1945.8505859375
1576018151.9768372,246200,1942.3758544921875
1576018212.0529783,248200,1943.479736328125
1576018289.6806247,250200,1942.7882080078125
1576018349.4665418,252200,1944.98974609375
1576018410.0814164,254200,1945.8060302734375
1576018469.2451994,256200,1951.0185546875
1576018530.6758883,258200,1953.23876953125
1576018605.957448,260200,1950.03564453125
1576018667.6617303,262200,1949.9571533203125
1576018726.8857372,264200,1949.85986328125
1576018785.850658,266200,1951.5303955078125
1576018845.10181,268200,1949.919921875
1576018919.242391,270200,1949.62060546875
1576018978.759426,272200,1948.76806640625
1576019038.1068087,274200,1947.8641357421875
1576019096.2500877,276200,1946.945068359375
1576019156.715094,278200,1946.90283203125
1576019231.118068,280200,1946.2064208984375
1576019293.5570078,282200,1947.35986328125
1576019352.700507,284200,1947.6768798828125
1576019414.5745373,286200,1946.9110107421875
1576019475.6135125,288200,1944.0823974609375
1576019548.1615555,290200,1944.0390625
1576019607.958442,292200,1940.7861328125
1576019666.5508997,294200,1942.20068359375
1576019726.915182,296200,1941.241455078125
1576019787.3388429,298200,1939.7410888671875
1576019858.907514,300200,1941.1636962890625
1576019921.4775572,302200,1938.3209228515625
1576019978.8714204,304200,1937.783203125
1576020041.0474966,306200,1936.9482421875
1576020102.076763,308200,1937.9752197265625
1576020175.766202,310200,1939.475341796875
1576020235.2717826,312200,1939.27587890625
1576020294.0199797,314200,1939.7008056640625
1576020354.468977,316200,1941.25244140625
1576020414.673256,318200,1942.42333984375
1576020487.87169,320200,1944.1182861328125
1576020550.5241277,322200,1944.8575439453125
1576020608.5224218,324200,1943.9505615234375
1576020670.3304265,326200,1946.03466796875
1576020733.4002368,328200,1947.4837646484375
1576020806.5271518,330200,1945.525634765625
1576020867.1013012,332200,1948.387451171875
