Wall time,Step,Value
1575553119.5953712,200,1610.2296142578125
1575553172.9783347,2200,1575.680419921875
1575553241.4009924,4200,1563.53076171875
1575553316.408642,6200,1561.0758056640625
1575553384.405625,8200,1561.3331298828125
1575553481.5053365,10200,1561.27978515625
1575553554.3382642,12200,1575.9273681640625
1575553623.3658607,14200,1574.3704833984375
1575553696.4722357,16200,1567.3037109375
1575553767.294201,18200,1577.0550537109375
1575553861.360848,20200,1580.62890625
1575553933.773421,22200,1579.879150390625
1575554005.1392865,24200,1582.181396484375
1575554079.1975071,26200,1583.67578125
1575554149.2727349,28200,1593.663818359375
1575554240.1180131,30200,1596.68017578125
1575554310.4601085,32200,1592.06201171875
1575554380.2833974,34200,1591.139892578125
1575554454.0651655,36200,1602.3790283203125
1575554524.8039594,38200,1594.575439453125
1575554620.0146353,40200,1588.772216796875
1575554690.0930493,42200,1591.8187255859375
1575554758.2728913,44200,1592.2730712890625
1575554832.3541305,46200,1595.5216064453125
1575554902.8924844,48200,1586.053466796875
1575554997.0436075,50200,1582.4449462890625
1575555068.2713668,52200,1580.4576416015625
1575555136.6941516,54200,1584.4111328125
1575555207.289928,56200,1576.0574951171875
1575555279.4452333,58200,1574.1588134765625
1575555375.1516736,60200,1579.7684326171875
1575555449.340877,62200,1572.797119140625
1575555516.1340196,64200,1573.017333984375
1575555588.9940517,66200,1569.965576171875
1575555670.7834637,68200,1577.1419677734375
1575555778.5420332,70200,1576.754638671875
1575555852.605377,72200,1572.69580078125
1575555918.5168402,74200,1571.5526123046875
1575555994.8184314,76200,1570.8529052734375
1575556064.114172,78200,1574.2408447265625
1575556159.1216552,80200,1576.3829345703125
1575556234.5928237,82200,1579.615966796875
1575556300.8153374,84200,1589.5338134765625
1575556374.725951,86200,1597.1199951171875
1575556444.248525,88200,1588.727783203125
1575556541.8653715,90200,1590.538818359375
1575556613.6103027,92200,1588.718017578125
1575556680.8400228,94200,1586.477294921875
1575556756.4766846,96200,1589.6800537109375
1575556827.7987313,98200,1588.646484375
1575556922.222059,100200,1580.8934326171875
1575556996.3351247,102200,1580.53173828125
1575557067.4771023,104200,1573.7728271484375
1575557139.4326065,106200,1566.5787353515625
1575557212.433957,108200,1572.1904296875
1575557305.8466287,110200,1574.223876953125
1575557379.287129,112200,1577.6290283203125
1575557447.995149,114200,1580.014892578125
1575557524.7051814,116200,1578.2001953125
1575557593.1940074,118200,1585.368408203125
1575557685.023672,120200,1586.9501953125
1575557760.2267838,122200,1597.7105712890625
1575557828.7599897,124200,1592.9464111328125
1575557902.2705543,126200,1595.14111328125
1575557974.7158742,128200,1592.1341552734375
1575558069.9093053,130200,1588.448974609375
1575558144.6888807,132200,1593.369140625
1575558210.0261538,134200,1604.8387451171875
1575558286.4403806,136200,1609.745849609375
1575558361.141724,138200,1599.0523681640625
1575558453.8103023,140200,1596.9132080078125
1575558527.1344228,142200,1593.3560791015625
