Wall time,Step,Value
1575663644.0561423,200,1949.8922119140625
1575663684.9139483,2200,1910.11767578125
1575663726.3556683,4200,1924.9803466796875
1575663768.532096,6200,1922.703369140625
1575663810.0807238,8200,1912.906005859375
1575663860.713811,10200,1909.22998046875
1575663902.3866286,12200,1906.588623046875
1575663944.057045,14200,1906.5704345703125
1575663985.9408438,16200,1907.511474609375
1575664027.6323054,18200,1906.4254150390625
1575664078.306794,20200,1911.1162109375
1575664120.7735584,22200,1908.846923828125
1575664163.0696409,24200,1907.2852783203125
1575664204.811375,26200,1906.9384765625
1575664246.9657228,28200,1912.7625732421875
1575664297.4270046,30200,1913.3687744140625
1575664339.2607093,32200,1917.5084228515625
1575664381.4334643,34200,1918.3909912109375
1575664423.3427415,36200,1917.740478515625
1575664465.1238065,38200,1918.525390625
1575664516.6680226,40200,1914.6466064453125
1575664558.9902823,42200,1918.962158203125
1575664601.5728946,44200,1921.2373046875
1575664644.1216333,46200,1923.427978515625
1575664686.2558746,48200,1919.849609375
1575664738.1713338,50200,1922.8936767578125
1575664780.3697634,52200,1920.015380859375
1575664822.6986916,54200,1921.2406005859375
1575664865.1033075,56200,1919.5247802734375
1575664907.363358,58200,1919.5870361328125
1575664959.070191,60200,1919.0047607421875
1575665001.3840091,62200,1920.46826171875
1575665043.403335,64200,1915.1529541015625
1575665085.9998846,66200,1907.6585693359375
1575665128.6083412,68200,1909.502685546875
1575665180.61924,70200,1909.22509765625
1575665223.1546445,72200,1911.87353515625
1575665265.5147352,74200,1910.754638671875
1575665307.8986552,76200,1912.928955078125
1575665350.4391448,78200,1912.5682373046875
1575665402.2947671,80200,1912.6715087890625
1575665444.8393533,82200,1909.2276611328125
1575665487.2580976,84200,1911.856201171875
1575665529.44428,86200,1921.0987548828125
1575665572.1770003,88200,1919.1341552734375
1575665624.678442,90200,1917.2423095703125
1575665666.880997,92200,1918.8763427734375
1575665709.549101,94200,1919.7071533203125
1575665751.4484751,96200,1915.5018310546875
1575665793.5176187,98200,1917.26220703125
1575665845.775553,100200,1914.0357666015625
1575665888.4998484,102200,1913.093994140625
1575665931.1531544,104200,1911.793701171875
1575665973.4664059,106200,1911.3773193359375
1575666015.546371,108200,1913.3680419921875
1575666068.064337,110200,1914.6832275390625
1575666110.8454487,112200,1910.325927734375
1575666152.7946138,114200,1909.6947021484375
1575666195.365993,116200,1916.8614501953125
1575666237.3881817,118200,1919.145263671875
1575666289.4378407,120200,1924.7332763671875
1575666331.928955,122200,1925.1656494140625
1575666374.2275505,124200,1927.167236328125
1575666416.5374057,126200,1922.3128662109375
1575666458.6294155,128200,1921.4459228515625
1575666510.3936503,130200,1925.9757080078125
1575666553.0704303,132200,1926.69287109375
1575666595.3850253,134200,1927.17138671875
1575666637.876022,136200,1921.916748046875
1575666680.5615108,138200,1917.2979736328125
1575666732.3903198,140200,1912.6600341796875
1575666774.9620295,142200,1917.6744384765625
1575666817.3059242,144200,1919.893798828125
1575666859.6283524,146200,1919.87158203125
1575666902.107018,148200,1918.979736328125
1575666954.6177812,150200,1913.7633056640625
1575666997.2700472,152200,1914.471435546875
1575667039.7351656,154200,1915.102294921875
1575667082.360388,156200,1920.3568115234375
1575667124.9111533,158200,1925.204345703125
1575667177.1663373,160200,1927.6043701171875
1575667219.8442802,162200,1924.8870849609375
1575667262.571406,164200,1922.618408203125
1575667304.9997704,166200,1921.91259765625
1575667347.250459,168200,1921.558349609375
1575667399.4972203,170200,1924.0185546875
1575667441.849733,172200,1921.465576171875
1575667484.2814262,174200,1918.7813720703125
1575667526.745913,176200,1915.6234130859375
1575667569.1760979,178200,1910.5279541015625
1575667621.4671013,180200,1913.6156005859375
1575667664.2282977,182200,1916.662841796875
1575667706.5453963,184200,1915.9307861328125
1575667749.4175527,186200,1918.4266357421875
1575667792.0472982,188200,1921.3809814453125
1575667844.5005774,190200,1919.937744140625
