Wall time,Step,Value
1575979508.9233868,200,1245.5677490234375
1575979536.823363,2200,1455.431884765625
1575979564.92605,4200,1567.91748046875
1575979593.2093344,6200,1605.560546875
1575979621.423931,8200,1631.4339599609375
1575979657.5643063,10200,1648.215576171875
1575979685.97468,12200,1656.234619140625
1575979714.691291,14200,1665.73486328125
1575979743.4665473,16200,1673.0877685546875
1575979771.8576624,18200,1677.8065185546875
1575979808.445789,20200,1686.888671875
1575979837.919368,22200,1713.1827392578125
1575979866.806233,24200,1717.0028076171875
1575979895.9107926,26200,1722.1331787109375
1575979924.9919004,28200,1723.592041015625
1575979961.052566,30200,1725.609619140625
1575979990.6978498,32200,1729.762939453125
1575980019.6177974,34200,1731.522705078125
1575980049.1869829,36200,1731.864501953125
1575980078.7932527,38200,1735.27587890625
1575980115.713787,40200,1738.164306640625
1575980145.5622385,42200,1738.9381103515625
1575980175.5638816,44200,1741.37646484375
1575980205.1307733,46200,1744.069580078125
1575980234.8723352,48200,1745.90478515625
1575980271.4295933,50200,1747.044189453125
1575980301.8302608,52200,1749.918701171875
1575980331.3226225,54200,1751.4205322265625
1575980360.8526497,56200,1754.3087158203125
1575980389.9701114,58200,1754.8897705078125
1575980426.5681996,60200,1756.5341796875
1575980456.8020623,62200,1758.564453125
1575980487.1268644,64200,1760.83203125
1575980516.9357903,66200,1760.99609375
1575980547.0130844,68200,1763.985595703125
1575980584.0038729,70200,1767.5068359375
1575980613.9523118,72200,1768.427734375
1575980643.914614,74200,1769.7501220703125
1575980673.266545,76200,1772.124755859375
1575980703.4007013,78200,1776.4935302734375
1575980740.7612135,80200,1779.27783203125
1575980770.4261756,82200,1781.210693359375
1575980799.7037408,84200,1781.8607177734375
1575980829.970253,86200,1784.893798828125
1575980859.9844398,88200,1787.3046875
1575980897.0936599,90200,1788.219970703125
1575980926.9290175,92200,1787.26416015625
1575980956.4315696,94200,1789.447998046875
1575980985.753768,96200,1791.725830078125
1575981015.4556954,98200,1792.9677734375
1575981052.3626418,100200,1795.2666015625
1575981082.8635452,102200,1798.239013671875
1575981112.7716625,104200,1800.4136962890625
1575981142.2049012,106200,1802.5545654296875
1575981171.7855508,108200,1804.12451171875
1575981209.146711,110200,1807.316650390625
1575981239.164784,112200,1814.32470703125
1575981269.3648121,114200,1816.6107177734375
1575981299.2229197,116200,1818.2625732421875
1575981328.8857265,118200,1820.7880859375
1575981366.814478,120200,1822.71533203125
1575981397.3945851,122200,1826.6138916015625
1575981427.8332198,124200,1832.16259765625
1575981457.7614768,126200,1834.825439453125
1575981487.096757,128200,1839.2198486328125
1575981524.3694584,130200,1845.5220947265625
1575981555.0065339,132200,1848.592529296875
1575981585.187972,134200,1853.257568359375
1575981615.2433612,136200,1857.2220458984375
1575981645.155816,138200,1863.9814453125
1575981682.5791008,140200,1870.113037109375
1575981713.0438092,142200,1876.135498046875
1575981742.9495342,144200,1881.8052978515625
1575981772.664913,146200,1890.0982666015625
1575981803.2974317,148200,1896.6534423828125
1575981841.069148,150200,1900.4749755859375
1575981871.5238214,152200,1905.83642578125
1575981902.231343,154200,1910.7725830078125
1575981932.466493,156200,1920.2030029296875
1575981962.7293298,158200,1921.7218017578125
1575981999.9802637,160200,1924.4217529296875
1575982030.294511,162200,1924.55078125
